,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³)
146,2020-05-26 00:00:00,8.52,14.73,0.8,5.81,3.43,4.32,14.88,0.33,33.91
147,2020-05-27 00:00:00,9.26,17.93,0.82,9.61,5.29,2.28,15.01,0.34,43.14
148,2020-05-28 00:00:00,15.09,28.72,0.94,6.09,3.66,0.85,15.07,0.37,44.16
149,2020-05-29 00:00:00,15.83,28.16,1.45,8.36,5.14,1.46,15.1,0.4,40.07
150,2020-05-30 00:00:00,22.66,42.76,1.72,11.93,7.1,2.28,15.14,0.43,39.24
151,2020-05-31 00:00:00,28.72,44.75,3.76,11.37,8.33,2.65,15.33,0.58,25.94
152,2020-06-01 00:00:00,24.7,40.26,3.31,10.52,7.6,2.64,15.25,0.57,26.57
153,2020-06-02 00:00:00,22.12,37.8,1.01,5.78,3.56,3.62,15.19,0.47,28.08
154,2020-06-03 00:00:00,16.9,29.65,1.14,7.99,4.74,3.63,15.58,0.4,44.62
155,2020-06-04 00:00:00,11.01,27.02,0.95,4.39,2.84,1.6,15.42,0.32,40.07
156,2020-06-05 00:00:00,15.96,25.86,1.11,6.81,4.14,1.29,15.41,0.39,30.78
157,2020-06-06 00:00:00,11.89,19.8,1.19,6.44,4.02,1.37,15.7,0.39,30.69
158,2020-06-07 00:00:00,19.61,31.92,1.52,6.82,4.45,1.28,15.63,0.41,23.12
159,2020-06-08 00:00:00,28.67,46.22,1.03,7.96,4.64,3.11,15.62,0.47,30.27
160,2020-06-09 00:00:00,31.67,52.06,1.33,8.75,5.25,4.3,15.7,0.5,36.36
161,2020-06-10 00:00:00,38.52,76.58,9.72,19.95,16.97,4.97,15.85,0.71,31.62
162,2020-06-11 00:00:00,34.42,63.54,8.21,12.9,12.41,5.05,15.84,0.59,27.51
163,2020-06-12 00:00:00,16.18,27.35,2.42,11.24,7.28,3.56,15.51,0.5,22.52
164,2020-06-13 00:00:00,17.6,27.82,3.51,9.99,7.48,2.29,15.5,0.44,21.68
165,2020-06-14 00:00:00,17.28,26.29,9.15,10.17,11.77,1.66,15.61,0.39,21.5
166,2020-06-15 00:00:00,16.09,27.8,1.88,8.9,5.74,1.88,15.63,0.36,20.26
167,2020-06-16 00:00:00,16.12,27.63,1.92,9.17,5.9,1.56,15.61,0.4,24.85
168,2020-06-17 00:00:00,9.58,17.16,1.98,6.31,4.55,0.68,15.71,0.3,23.5
169,2020-06-18 00:00:00,5.63,11.77,1.25,5.65,3.68,0.97,15.75,0.32,26.45
170,2020-06-19 00:00:00,13.08,22.35,1.22,5.48,3.58,2.99,15.87,0.39,22.29
171,2020-06-20 00:00:00,25.2,42.2,3.35,10.44,7.58,4.27,15.86,0.53,25.1
172,2020-06-21 00:00:00,20.06,33.75,4.46,7.47,6.95,3.73,15.76,0.46,24.0
173,2020-06-22 00:00:00,20.29,36.86,6.61,10.73,10.15,4.0,15.99,0.57,22.03
174,2020-06-23 00:00:00,17.55,32.33,1.43,6.39,4.17,3.66,16.06,0.37,20.15
175,2020-06-24 00:00:00,21.71,35.27,1.1,5.88,3.68,3.14,15.96,0.4,21.9
176,2020-06-25 00:00:00,18.63,31.35,4.65,11.84,9.24,4.35,15.9,0.45,22.96
177,2020-06-26 00:00:00,16.97,24.62,3.19,7.89,6.23,3.98,16.11,0.49,19.34
178,2020-06-27 00:00:00,17.49,25.13,1.83,8.11,5.31,2.79,16.08,0.5,21.63
179,2020-06-28 00:00:00,18.94,29.36,1.3,8.29,5.0,2.39,15.92,0.45,27.42
180,2020-06-29 00:00:00,22.75,35.62,2.43,6.64,5.05,3.63,15.68,0.48,26.12
181,2020-06-30 00:00:00,19.82,31.53,1.33,4.98,3.42,3.32,15.84,0.42,24.16
182,2020-07-01 00:00:00,23.89,34.06,2.73,6.64,5.27,3.47,15.88,0.46,20.81
183,2020-07-02 00:00:00,25.2,40.01,13.46,11.35,15.57,2.88,16.23,0.47,20.76
184,2020-07-03 00:00:00,18.94,26.55,1.08,5.75,3.6,3.14,15.97,0.4,23.43
185,2020-07-04 00:00:00,22.22,32.83,4.28,7.67,6.8,3.99,16.08,0.38,23.36
186,2020-07-05 00:00:00,16.44,24.09,1.31,5.81,3.81,3.36,16.16,0.35,22.34
187,2020-07-06 00:00:00,13.01,22.84,0.84,4.2,2.66,3.46,16.12,0.32,24.17
188,2020-07-07 00:00:00,19.74,29.31,11.12,8.93,12.46,22.77,15.34,0.29,23.23
189,2020-07-08 00:00:00,12.69,25.37,15.1,6.14,13.31,6.04,15.33,0.33,22.83
190,2020-07-09 00:00:00,12.68,22.09,2.59,3.87,3.71,3.16,15.52,0.3,24.71
191,2020-07-10 00:00:00,2.52,11.22,27.22,3.69,20.44,4.57,14.91,0.33,24.79
192,2020-07-11 00:00:00,3.43,5.6,30.03,2.83,21.65,11.55,14.51,0.23,56.07
193,2020-07-12 00:00:00,,,,,,,,,
194,2020-07-13 00:00:00,,0.62,91.49,2.92,62.19,15.65,14.79,0.29,39.32
195,2020-07-14 00:00:00,19.16,29.7,1.23,6.32,3.99,7.19,16.5,0.37,23.31
196,2020-07-15 00:00:00,8.78,16.15,1.42,4.39,3.19,4.06,16.3,0.29,19.05
197,2020-07-16 00:00:00,11.7,20.88,0.94,3.98,2.63,2.86,16.23,0.28,20.61
198,2020-07-17 00:00:00,15.42,26.37,0.84,4.31,2.72,2.09,16.15,0.3,20.71
199,2020-07-18 00:00:00,16.2,25.75,0.9,4.18,2.71,1.98,16.37,0.3,20.54
200,2020-07-19 00:00:00,10.82,18.52,2.12,6.57,4.79,3.39,16.24,0.34,19.1
201,2020-07-20 00:00:00,11.59,19.87,3.37,7.37,6.02,8.13,15.82,0.4,28.79
202,2020-07-21 00:00:00,18.62,30.42,4.51,7.36,6.95,2.77,16.17,0.51,22.87
203,2020-07-22 00:00:00,17.13,29.21,7.98,6.78,9.26,1.94,16.72,0.51,17.77
204,2020-07-23 00:00:00,12.15,24.06,2.29,5.75,4.51,2.44,16.82,0.41,22.95
205,2020-07-24 00:00:00,14.15,24.8,1.4,6.85,4.38,1.58,16.86,0.38,19.56
206,2020-07-25 00:00:00,15.96,29.25,3.15,6.11,5.32,1.2,16.99,0.37,17.91
207,2020-07-26 00:00:00,21.4,32.46,0.7,4.8,2.86,1.17,17.06,0.35,21.2
208,2020-07-27 00:00:00,23.77,38.09,5.29,10.26,8.95,2.46,17.4,0.51,19.71
209,2020-07-28 00:00:00,22.21,38.54,4.32,9.68,7.94,2.13,17.63,0.46,20.84
210,2020-07-29 00:00:00,20.1,37.42,2.13,9.94,6.43,1.7,17.59,0.42,19.74
211,2020-07-30 00:00:00,24.6,41.43,3.73,8.83,7.07,1.89,17.77,0.52,18.93
212,2020-07-31 00:00:00,17.65,30.86,4.7,8.75,7.77,1.55,17.61,0.53,19.38
213,2020-08-01 00:00:00,24.72,39.79,3.74,8.34,6.84,2.01,17.97,0.52,19.17
214,2020-08-02 00:00:00,25.73,40.0,4.71,9.98,8.38,2.62,18.04,0.44,20.77
215,2020-08-03 00:00:00,29.83,53.71,18.22,19.45,23.06,4.6,18.6,0.58,22.22
216,2020-08-04 00:00:00,32.45,59.15,9.93,15.2,14.81,3.08,18.95,0.56,24.23
217,2020-08-05 00:00:00,14.32,38.54,1.72,8.05,5.2,5.62,18.12,0.43,23.17
218,2020-08-06 00:00:00,16.06,35.32,5.21,11.85,9.65,4.61,18.01,0.43,19.03
219,2020-08-07 00:00:00,11.31,26.19,3.57,7.33,6.24,3.52,17.78,0.36,19.14
220,2020-08-08 00:00:00,15.38,26.41,2.39,6.99,5.2,4.23,18.01,0.34,21.08
221,2020-08-09 00:00:00,25.91,43.33,6.2,11.36,10.16,4.72,17.99,0.42,19.55
222,2020-08-10 00:00:00,11.63,25.1,1.12,5.75,3.63,4.32,17.68,0.34,19.48
223,2020-08-11 00:00:00,13.67,26.06,1.77,8.05,5.24,4.37,17.42,0.37,20.05
224,2020-08-12 00:00:00,11.96,37.65,3.08,8.59,6.47,3.58,17.39,0.42,19.31
225,2020-08-13 00:00:00,19.89,39.05,1.84,8.66,5.59,3.64,17.62,0.46,19.65
226,2020-08-14 00:00:00,10.81,21.29,1.62,5.36,3.81,3.01,17.68,0.35,21.07
227,2020-08-15 00:00:00,8.22,16.89,1.34,4.87,3.36,1.65,17.55,0.33,20.78
228,2020-08-16 00:00:00,11.88,24.89,4.96,6.59,6.9,0.9,17.73,0.38,20.43
229,2020-08-17 00:00:00,13.16,26.8,2.79,8.46,6.21,0.67,17.68,0.45,19.09
230,2020-08-18 00:00:00,9.37,23.8,1.73,6.14,4.28,0.81,17.66,0.4,20.97
231,2020-08-19 00:00:00,9.78,21.28,5.16,8.57,8.02,0.86,17.94,0.39,20.82
232,2020-08-20 00:00:00,15.9,30.14,5.71,8.94,8.61,0.46,18.27,0.48,19.62
233,2020-08-21 00:00:00,16.32,35.28,3.92,9.38,7.49,0.26,18.45,0.51,19.37
234,2020-08-22 00:00:00,16.28,36.65,8.5,9.59,11.02,0.45,18.44,0.43,20.07
235,2020-08-23 00:00:00,16.52,29.19,0.88,6.1,3.62,1.33,18.19,0.36,20.77
236,2020-08-24 00:00:00,18.47,38.46,6.15,13.7,11.26,1.41,18.56,0.45,21.02
237,2020-08-25 00:00:00,19.05,41.81,3.38,12.57,8.64,1.29,18.97,0.49,21.8
238,2020-08-26 00:00:00,14.68,38.5,4.95,12.77,9.92,0.72,18.58,0.47,21.5
239,2020-08-27 00:00:00,19.12,51.4,9.52,12.44,13.11,0.66,18.71,0.51,19.2
240,2020-08-28 00:00:00,16.29,37.54,2.76,8.48,6.19,0.72,18.65,0.46,19.08
241,2020-08-29 00:00:00,18.23,35.08,1.36,5.48,3.68,0.29,18.32,0.34,19.84
242,2020-08-30 00:00:00,28.81,49.95,3.02,10.47,7.35,0.7,18.34,0.44,20.23
243,2020-08-31 00:00:00,19.8,39.36,3.95,14.63,10.08,2.39,18.24,0.5,24.16
244,2020-09-01 00:00:00,25.72,51.5,17.9,21.95,24.07,3.21,17.75,0.6,21.83
245,2020-09-02 00:00:00,19.06,34.74,4.89,10.26,8.64,2.95,17.92,0.51,21.75
246,2020-09-03 00:00:00,13.54,30.0,6.55,9.19,9.36,1.64,17.99,0.41,20.46
247,2020-09-04 00:00:00,20.48,36.54,1.3,9.1,5.4,2.74,17.92,0.39,24.26
248,2020-09-05 00:00:00,20.51,35.91,1.61,7.95,5.06,3.0,17.99,0.42,22.71
249,2020-09-06 00:00:00,22.59,43.33,8.63,16.67,14.55,3.07,17.92,0.53,22.04
250,2020-09-07 00:00:00,19.87,34.79,9.34,17.01,15.27,4.13,17.87,0.61,22.07
251,2020-09-08 00:00:00,14.09,25.79,4.19,10.92,8.44,2.92,17.41,0.52,23.3
252,2020-09-09 00:00:00,23.57,40.25,1.88,7.73,5.17,2.83,17.58,0.47,24.44
253,2020-09-10 00:00:00,21.1,38.25,6.03,13.37,11.01,2.92,17.98,0.5,22.71
254,2020-09-11 00:00:00,37.81,63.78,3.89,14.37,9.9,2.57,17.88,0.65,21.75
255,2020-09-12 00:00:00,19.91,37.96,2.24,11.35,7.2,1.98,17.81,0.52,19.82
256,2020-09-13 00:00:00,14.49,33.71,3.25,8.85,6.72,0.88,17.93,0.41,19.44
257,2020-09-14 00:00:00,16.83,31.01,3.98,10.29,7.98,0.98,17.99,0.49,19.74
258,2020-09-15 00:00:00,14.15,29.98,5.56,10.09,9.06,1.05,18.44,0.49,19.51
259,2020-09-16 00:00:00,19.06,40.13,5.06,11.3,9.28,2.02,18.19,0.55,20.2
260,2020-09-17 00:00:00,28.13,47.64,5.97,13.87,11.21,3.74,18.62,0.79,21.25
261,2020-09-18 00:00:00,25.27,51.63,16.47,16.32,20.24,2.25,18.36,0.63,22.24
262,2020-09-19 00:00:00,30.99,72.4,17.88,16.69,21.47,3.77,18.5,0.74,21.03
263,2020-09-20 00:00:00,33.43,74.83,5.96,11.69,10.13,3.89,19.06,0.69,20.51
264,2020-09-21 00:00:00,19.57,53.02,6.33,12.26,10.7,6.66,18.64,0.54,19.84
265,2020-09-22 00:00:00,16.71,25.98,7.84,14.36,12.85,2.39,18.83,0.51,18.65
266,2020-09-23 00:00:00,12.55,19.75,3.12,9.65,7.04,0.81,18.61,0.51,19.6
